127.0.0.1, 2018-07-03 12:07:53, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.233000
127.0.0.1, 2018-07-03 12:07:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.263000
127.0.0.1, 2018-07-03 12:07:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.658000
127.0.0.1, 2018-07-03 12:07:54, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.717000
127.0.0.1, 2018-07-03 12:07:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.525000
127.0.0.1, 2018-07-03 12:07:54, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.928000
127.0.0.1, 2018-07-03 12:08:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-07-03 12:08:53, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.216000
127.0.0.1, 2018-07-03 12:09:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2018-07-03 12:09:53, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.265000
127.0.0.1, 2018-07-03 12:10:37, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.126000
127.0.0.1, 2018-07-03 12:10:40, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.522000
127.0.0.1, 2018-07-03 12:10:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 12:11:01, POST, /admin/default/create_file, HTTP/1.1, 303, 0.067000
127.0.0.1, 2018-07-03 12:11:01, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.482000
127.0.0.1, 2018-07-03 12:11:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 12:11:04, GET, /admin/default/edit/pluralsight/views/basics/requests_args.html, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-07-03 12:11:04, GET, /favicon.ico, HTTP/1.1, 400, 0.006000
127.0.0.1, 2018-07-03 12:11:04, GET, /admin/default/edit/pluralsight/views/basics/requests_args.html, HTTP/1.1, 200, 0.363000
127.0.0.1, 2018-07-03 12:11:04, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.454000
127.0.0.1, 2018-07-03 12:11:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.711000
127.0.0.1, 2018-07-03 12:11:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.735000
127.0.0.1, 2018-07-03 12:11:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.338000
127.0.0.1, 2018-07-03 12:11:05, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.868000
127.0.0.1, 2018-07-03 12:12:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-07-03 12:12:04, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-07-03 12:12:14, POST, /admin/default/edit/pluralsight/views/basics/requests_args.html, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-07-03 12:12:32, GET, /pluralsight/basics/request_args, HTTP/1.1, 404, 0.129000
